Treatment,Compound,log2FC
Azepines,Benzoxazines,
Azetidines,Benzoxazines,
Azoles,Benzoxazines,
Azolidines,Benzoxazines,
Benzazepines,Benzoxazines,
Benzene and substituted derivatives,Benzoxazines,
Benzodiazepines,Benzoxazines,
Benzodioxoles,Benzoxazines,
Benzofurans,Benzoxazines,
Benzophenanthridine alkaloids,Benzoxazines,
Benzopyrans,Benzoxazines,
Benzothiazoles,Benzoxazines,
Benzoxazines,Benzoxazines,
Benzoxepines,Benzoxazines,
Bi- and oligothiophenes,Benzoxazines,
Carboximidic acids and derivatives,Benzoxazines,
Carboxylic acids and derivatives,Benzoxazines,
Cinnamic acids and derivatives,Benzoxazines,
Coumarins and derivatives,Benzoxazines,
Cycloheptapyrans,Benzoxazines,
Daphniphylline-type alkaloids,Benzoxazines,
Depsides and depsidones,Benzoxazines,
Diarylheptanoids,Benzoxazines,
Diazanaphthalenes,Benzoxazines,
Diazines,Benzoxazines,
Dibenzylbutane lignans,Benzoxazines,
Dihydrofurans,Benzoxazines,
Dihydroisoquinolines,Benzoxazines,
Dioxanes,Benzoxazines,
Ergoline and derivatives,Benzoxazines,
Fatty Acyls,Benzoxazines,
Flavonoids,Benzoxazines,
Fluorenes,Benzoxazines,
Furanoid lignans,Benzoxazines,
Furans,Benzoxazines,
Furofurans,Benzoxazines,
Furopyrans,Benzoxazines,
Gelsemium alkaloids,Benzoxazines,
Glycerolipids,Benzoxazines,
Glycerophospholipids,Benzoxazines,
Harmala alkaloids,Benzoxazines,
Heteroaromatic compounds,Benzoxazines,
Hydroxy acids and derivatives,Benzoxazines,
Imidazodiazepines,Benzoxazines,
Imidazopyrimidines,Benzoxazines,
Indanes,Benzoxazines,
Indoles and derivatives,Benzoxazines,
Indolizidines,Benzoxazines,
Indolonaphthyridine alkaloids,Benzoxazines,
Isobenzofurans,Benzoxazines,
Isocoumarans,Benzoxazines,
Isocoumarins and derivatives,Benzoxazines,
Isoflavonoids,Benzoxazines,
Isoindoles and derivatives,Benzoxazines,
Isoquinolines and derivatives,Benzoxazines,
Keto acids and derivatives,Benzoxazines,
Lactams,Benzoxazines,
Lactones,Benzoxazines,
"Linear 1,3-diarylpropanoids",Benzoxazines,
Lupin alkaloids,Benzoxazines,
Macrolactams,Benzoxazines,
Macrolide lactams,Benzoxazines,
Macrolides and analogues,Benzoxazines,
Naphthacenes,Benzoxazines,
Naphthalenes,Benzoxazines,
Naphthofurans,Benzoxazines,
Naphthopyrans,Benzoxazines,
Neoflavonoids,Benzoxazines,
Organic carbonic acids and derivatives,Benzoxazines,
Organic oxides,Benzoxazines,
Organic phosphonic acids and derivatives,Benzoxazines,
Organic phosphoric acids and derivatives,Benzoxazines,
Organic sulfonic acids and derivatives,Benzoxazines,
Organic sulfuric acids and derivatives,Benzoxazines,
Organochlorides,Benzoxazines,
Organonitrogen compounds,Benzoxazines,
Organooxygen compounds,Benzoxazines,
Other mixed metal/non-metal oxoanionic compounds,Benzoxazines,
Oxanes,Benzoxazines,
Oxepanes,Benzoxazines,
Oxocins,Benzoxazines,
Peptidomimetics,Benzoxazines,
Perylenequinones,Benzoxazines,
Phenanthrenes and derivatives,Benzoxazines,
Phenol esters,Benzoxazines,
Phenol ethers,Benzoxazines,
Phenols,Benzoxazines,
Phenylpropanoic acids,Benzoxazines,
Piperidines,Benzoxazines,
Plumeran-type alkaloids,Benzoxazines,
Polycyclic hydrocarbons,Benzoxazines,
Prenol lipids,Benzoxazines,
Processing_1,Benzoxazines,
Processing_2,Benzoxazines,
Processing_3,Benzoxazines,
Processing_4,Benzoxazines,
Pteridines and derivatives,Benzoxazines,
Purine nucleosides,Benzoxazines,
Pyrans,Benzoxazines,
Pyridines and derivatives,Benzoxazines,
Pyridopyrimidines,Benzoxazines,
Pyrimidine nucleosides,Benzoxazines,
Pyrroles,Benzoxazines,
Pyrrolidines,Benzoxazines,
Pyrrolines,Benzoxazines,
Pyrrolizidines,Benzoxazines,
Pyrrolizines,Benzoxazines,
Quinolines and derivatives,Benzoxazines,
Quinolizidines,Benzoxazines,
Quinolizines,Benzoxazines,
Saccharolipids,Benzoxazines,
"Saxitoxins, gonyautoxins, and derivatives",Benzoxazines,
Sphingolipids,Benzoxazines,
Steroids and steroid derivatives,Benzoxazines,
Stilbenes,Benzoxazines,
Strychnos alkaloids,Benzoxazines,
Sulfoxides,Benzoxazines,
Tannins,Benzoxazines,
Tetrahydrofurans,Benzoxazines,
Tetrahydroisoquinolines,Benzoxazines,
Tetralins,Benzoxazines,
Tetrapyrroles and derivatives,Benzoxazines,
Thiazinanes,Benzoxazines,
Thiosulfinic acid esters,Benzoxazines,
Trithiolanes,Benzoxazines,
Tropane alkaloids,Benzoxazines,
Tropones,Benzoxazines,
Unclassified,Benzoxazines,
Unsaturated hydrocarbons,Benzoxazines,
Vinylogous acids,Benzoxazines,
2-arylbenzofuran flavonoids,Cycloheptapyrans,
5'-deoxyribonucleosides,Cycloheptapyrans,
Acenaphthylenes,Cycloheptapyrans,
Acyl halides,Cycloheptapyrans,
"Allyl-type 1,3-dipolar organic compounds",Cycloheptapyrans,
Amaryllidaceae alkaloids,Cycloheptapyrans,
Angucyclines,Cycloheptapyrans,
Anthracenes,Cycloheptapyrans,
Aporphines,Cycloheptapyrans,
Arylnaphthalene lignans,Cycloheptapyrans,
Aryltetralin lignans,Cycloheptapyrans,
Aspidofractine alkaloids,Cycloheptapyrans,
Aspidospermatan-type alkaloids,Cycloheptapyrans,
Azaphilones,Cycloheptapyrans,
Azaspirodecane derivatives,Cycloheptapyrans,
Azepanes,Cycloheptapyrans,
Azepines,Cycloheptapyrans,
Azetidines,Cycloheptapyrans,
Azoles,Cycloheptapyrans,
Azolidines,Cycloheptapyrans,
Benzazepines,Cycloheptapyrans,
Benzene and substituted derivatives,Cycloheptapyrans,
Benzodiazepines,Cycloheptapyrans,
Benzodioxoles,Cycloheptapyrans,
Benzofurans,Cycloheptapyrans,
Benzophenanthridine alkaloids,Cycloheptapyrans,
Benzopyrans,Cycloheptapyrans,
Benzothiazoles,Cycloheptapyrans,
Benzoxazines,Cycloheptapyrans,
Benzoxepines,Cycloheptapyrans,
Bi- and oligothiophenes,Cycloheptapyrans,
Carboximidic acids and derivatives,Cycloheptapyrans,
Carboxylic acids and derivatives,Cycloheptapyrans,
Cinnamic acids and derivatives,Cycloheptapyrans,
Coumarins and derivatives,Cycloheptapyrans,
Cycloheptapyrans,Cycloheptapyrans,
Daphniphylline-type alkaloids,Cycloheptapyrans,
Depsides and depsidones,Cycloheptapyrans,
Diarylheptanoids,Cycloheptapyrans,
Diazanaphthalenes,Cycloheptapyrans,
Diazines,Cycloheptapyrans,
Dibenzylbutane lignans,Cycloheptapyrans,
Dihydrofurans,Cycloheptapyrans,
Dihydroisoquinolines,Cycloheptapyrans,
Dioxanes,Cycloheptapyrans,
Ergoline and derivatives,Cycloheptapyrans,
Fatty Acyls,Cycloheptapyrans,
Flavonoids,Cycloheptapyrans,
Fluorenes,Cycloheptapyrans,
Furanoid lignans,Cycloheptapyrans,
Furans,Cycloheptapyrans,
Furofurans,Cycloheptapyrans,
Furopyrans,Cycloheptapyrans,
Gelsemium alkaloids,Cycloheptapyrans,
Glycerolipids,Cycloheptapyrans,
Glycerophospholipids,Cycloheptapyrans,
Harmala alkaloids,Cycloheptapyrans,
Heteroaromatic compounds,Cycloheptapyrans,
Hydroxy acids and derivatives,Cycloheptapyrans,
Imidazodiazepines,Cycloheptapyrans,
Imidazopyrimidines,Cycloheptapyrans,
Indanes,Cycloheptapyrans,
Indoles and derivatives,Cycloheptapyrans,
Indolizidines,Cycloheptapyrans,
Indolonaphthyridine alkaloids,Cycloheptapyrans,
Isobenzofurans,Cycloheptapyrans,
Isocoumarans,Cycloheptapyrans,
Isocoumarins and derivatives,Cycloheptapyrans,
Isoflavonoids,Cycloheptapyrans,
Isoindoles and derivatives,Cycloheptapyrans,
Isoquinolines and derivatives,Cycloheptapyrans,
Keto acids and derivatives,Cycloheptapyrans,
Lactams,Cycloheptapyrans,
Lactones,Cycloheptapyrans,
"Linear 1,3-diarylpropanoids",Cycloheptapyrans,
Lupin alkaloids,Cycloheptapyrans,
Macrolactams,Cycloheptapyrans,
Macrolide lactams,Cycloheptapyrans,
Macrolides and analogues,Cycloheptapyrans,
Naphthacenes,Cycloheptapyrans,
Naphthalenes,Cycloheptapyrans,
Naphthofurans,Cycloheptapyrans,
Naphthopyrans,Cycloheptapyrans,
Neoflavonoids,Cycloheptapyrans,
Organic carbonic acids and derivatives,Cycloheptapyrans,
Organic oxides,Cycloheptapyrans,
Organic phosphonic acids and derivatives,Cycloheptapyrans,
Organic phosphoric acids and derivatives,Cycloheptapyrans,
Organic sulfonic acids and derivatives,Cycloheptapyrans,
Organic sulfuric acids and derivatives,Cycloheptapyrans,
Organochlorides,Cycloheptapyrans,
Organonitrogen compounds,Cycloheptapyrans,
Organooxygen compounds,Cycloheptapyrans,
Other mixed metal/non-metal oxoanionic compounds,Cycloheptapyrans,
Oxanes,Cycloheptapyrans,
Oxepanes,Cycloheptapyrans,
Oxocins,Cycloheptapyrans,
Peptidomimetics,Cycloheptapyrans,
Perylenequinones,Cycloheptapyrans,
Phenanthrenes and derivatives,Cycloheptapyrans,
Phenol esters,Cycloheptapyrans,
Phenol ethers,Cycloheptapyrans,
Phenols,Cycloheptapyrans,
Phenylpropanoic acids,Cycloheptapyrans,
Piperidines,Cycloheptapyrans,
Plumeran-type alkaloids,Cycloheptapyrans,
Polycyclic hydrocarbons,Cycloheptapyrans,
Prenol lipids,Cycloheptapyrans,
Processing_1,Cycloheptapyrans,
Processing_2,Cycloheptapyrans,
Processing_3,Cycloheptapyrans,
Processing_4,Cycloheptapyrans,
Pteridines and derivatives,Cycloheptapyrans,
Purine nucleosides,Cycloheptapyrans,
Pyrans,Cycloheptapyrans,
Pyridines and derivatives,Cycloheptapyrans,
Pyridopyrimidines,Cycloheptapyrans,
Pyrimidine nucleosides,Cycloheptapyrans,
Pyrroles,Cycloheptapyrans,
Pyrrolidines,Cycloheptapyrans,
Pyrrolines,Cycloheptapyrans,
Pyrrolizidines,Cycloheptapyrans,
Pyrrolizines,Cycloheptapyrans,
Quinolines and derivatives,Cycloheptapyrans,
Quinolizidines,Cycloheptapyrans,
Quinolizines,Cycloheptapyrans,
Saccharolipids,Cycloheptapyrans,
"Saxitoxins, gonyautoxins, and derivatives",Cycloheptapyrans,
Sphingolipids,Cycloheptapyrans,
Steroids and steroid derivatives,Cycloheptapyrans,
Stilbenes,Cycloheptapyrans,
Strychnos alkaloids,Cycloheptapyrans,
Sulfoxides,Cycloheptapyrans,
Tannins,Cycloheptapyrans,
Tetrahydrofurans,Cycloheptapyrans,
Tetrahydroisoquinolines,Cycloheptapyrans,
Tetralins,Cycloheptapyrans,
Tetrapyrroles and derivatives,Cycloheptapyrans,
Thiazinanes,Cycloheptapyrans,
Thiosulfinic acid esters,Cycloheptapyrans,
Trithiolanes,Cycloheptapyrans,
Tropane alkaloids,Cycloheptapyrans,
Tropones,Cycloheptapyrans,
Unclassified,Cycloheptapyrans,
Unsaturated hydrocarbons,Cycloheptapyrans,
Vinylogous acids,Cycloheptapyrans,
2-arylbenzofuran flavonoids,Depsides and depsidones,
5'-deoxyribonucleosides,Depsides and depsidones,
Acenaphthylenes,Depsides and depsidones,
Acyl halides,Depsides and depsidones,
"Allyl-type 1,3-dipolar organic compounds",Depsides and depsidones,
Amaryllidaceae alkaloids,Depsides and depsidones,
Angucyclines,Depsides and depsidones,
Anthracenes,Depsides and depsidones,
Aporphines,Depsides and depsidones,
Arylnaphthalene lignans,Depsides and depsidones,
Aryltetralin lignans,Depsides and depsidones,
Aspidofractine alkaloids,Depsides and depsidones,
Aspidospermatan-type alkaloids,Depsides and depsidones,
Azaphilones,Depsides and depsidones,
Azaspirodecane derivatives,Depsides and depsidones,
Azepanes,Depsides and depsidones,
Azepines,Depsides and depsidones,
Azetidines,Depsides and depsidones,
Azoles,Depsides and depsidones,
Azolidines,Depsides and depsidones,
Benzazepines,Depsides and depsidones,
Benzene and substituted derivatives,Depsides and depsidones,
Benzodiazepines,Depsides and depsidones,
Benzodioxoles,Depsides and depsidones,
Benzofurans,Depsides and depsidones,
Benzophenanthridine alkaloids,Depsides and depsidones,
Benzopyrans,Depsides and depsidones,
Benzothiazoles,Depsides and depsidones,
Benzoxazines,Depsides and depsidones,
Benzoxepines,Depsides and depsidones,
Bi- and oligothiophenes,Depsides and depsidones,
Carboximidic acids and derivatives,Depsides and depsidones,
Carboxylic acids and derivatives,Depsides and depsidones,
Cinnamic acids and derivatives,Depsides and depsidones,
Coumarins and derivatives,Depsides and depsidones,
Cycloheptapyrans,Depsides and depsidones,
Daphniphylline-type alkaloids,Depsides and depsidones,
Depsides and depsidones,Depsides and depsidones,
Diarylheptanoids,Depsides and depsidones,
Diazanaphthalenes,Depsides and depsidones,
Diazines,Depsides and depsidones,
Dibenzylbutane lignans,Depsides and depsidones,
Dihydrofurans,Depsides and depsidones,
Dihydroisoquinolines,Depsides and depsidones,
Dioxanes,Depsides and depsidones,
Ergoline and derivatives,Depsides and depsidones,
Fatty Acyls,Depsides and depsidones,
Flavonoids,Depsides and depsidones,
Fluorenes,Depsides and depsidones,
Furanoid lignans,Depsides and depsidones,
Furans,Depsides and depsidones,
Furofurans,Depsides and depsidones,
Furopyrans,Depsides and depsidones,
Gelsemium alkaloids,Depsides and depsidones,
Glycerolipids,Depsides and depsidones,
Glycerophospholipids,Depsides and depsidones,
Harmala alkaloids,Depsides and depsidones,
Heteroaromatic compounds,Depsides and depsidones,
Hydroxy acids and derivatives,Depsides and depsidones,
Imidazodiazepines,Depsides and depsidones,
Imidazopyrimidines,Depsides and depsidones,
Indanes,Depsides and depsidones,
Indoles and derivatives,Depsides and depsidones,
Indolizidines,Depsides and depsidones,
Indolonaphthyridine alkaloids,Depsides and depsidones,
Isobenzofurans,Depsides and depsidones,
Isocoumarans,Depsides and depsidones,
Isocoumarins and derivatives,Depsides and depsidones,
Isoflavonoids,Depsides and depsidones,
Isoindoles and derivatives,Depsides and depsidones,
Isoquinolines and derivatives,Depsides and depsidones,
Keto acids and derivatives,Depsides and depsidones,
Lactams,Depsides and depsidones,
Lactones,Depsides and depsidones,
"Linear 1,3-diarylpropanoids",Depsides and depsidones,
Lupin alkaloids,Depsides and depsidones,
Macrolactams,Depsides and depsidones,
Macrolide lactams,Depsides and depsidones,
Macrolides and analogues,Depsides and depsidones,
Naphthacenes,Depsides and depsidones,
Naphthalenes,Depsides and depsidones,
Naphthofurans,Depsides and depsidones,
Naphthopyrans,Depsides and depsidones,
Neoflavonoids,Depsides and depsidones,
Organic carbonic acids and derivatives,Depsides and depsidones,
Organic oxides,Depsides and depsidones,
Organic phosphonic acids and derivatives,Depsides and depsidones,
Organic phosphoric acids and derivatives,Depsides and depsidones,
Organic sulfonic acids and derivatives,Depsides and depsidones,
Organic sulfuric acids and derivatives,Depsides and depsidones,
Organochlorides,Depsides and depsidones,
Organonitrogen compounds,Depsides and depsidones,
Organooxygen compounds,Depsides and depsidones,
Other mixed metal/non-metal oxoanionic compounds,Depsides and depsidones,
Oxanes,Depsides and depsidones,
Oxepanes,Depsides and depsidones,
Oxocins,Depsides and depsidones,
Peptidomimetics,Depsides and depsidones,
Perylenequinones,Depsides and depsidones,
Phenanthrenes and derivatives,Depsides and depsidones,
Phenol esters,Depsides and depsidones,
Phenol ethers,Depsides and depsidones,
Phenols,Depsides and depsidones,
Phenylpropanoic acids,Depsides and depsidones,
Piperidines,Depsides and depsidones,
Plumeran-type alkaloids,Depsides and depsidones,
Polycyclic hydrocarbons,Depsides and depsidones,
Prenol lipids,Depsides and depsidones,
Processing_1,Depsides and depsidones,
Processing_2,Depsides and depsidones,
Processing_3,Depsides and depsidones,
Processing_4,Depsides and depsidones,
Pteridines and derivatives,Depsides and depsidones,
Purine nucleosides,Depsides and depsidones,
Pyrans,Depsides and depsidones,
Pyridines and derivatives,Depsides and depsidones,
Pyridopyrimidines,Depsides and depsidones,
Pyrimidine nucleosides,Depsides and depsidones,
Pyrroles,Depsides and depsidones,
Pyrrolidines,Depsides and depsidones,
Pyrrolines,Depsides and depsidones,
Pyrrolizidines,Depsides and depsidones,
Pyrrolizines,Depsides and depsidones,
Quinolines and derivatives,Depsides and depsidones,
Quinolizidines,Depsides and depsidones,
Quinolizines,Depsides and depsidones,
Saccharolipids,Depsides and depsidones,
"Saxitoxins, gonyautoxins, and derivatives",Depsides and depsidones,
Sphingolipids,Depsides and depsidones,
Steroids and steroid derivatives,Depsides and depsidones,
Stilbenes,Depsides and depsidones,
Strychnos alkaloids,Depsides and depsidones,
Sulfoxides,Depsides and depsidones,
Tannins,Depsides and depsidones,
Tetrahydrofurans,Depsides and depsidones,
Tetrahydroisoquinolines,Depsides and depsidones,
Tetralins,Depsides and depsidones,
Tetrapyrroles and derivatives,Depsides and depsidones,
Thiazinanes,Depsides and depsidones,
Thiosulfinic acid esters,Depsides and depsidones,
Trithiolanes,Depsides and depsidones,
Tropane alkaloids,Depsides and depsidones,
Tropones,Depsides and depsidones,
Unclassified,Depsides and depsidones,
Unsaturated hydrocarbons,Depsides and depsidones,
Vinylogous acids,Depsides and depsidones,
2-arylbenzofuran flavonoids,Dihydroisoquinolines,
5'-deoxyribonucleosides,Dihydroisoquinolines,
Acenaphthylenes,Dihydroisoquinolines,
Acyl halides,Dihydroisoquinolines,
"Allyl-type 1,3-dipolar organic compounds",Dihydroisoquinolines,
Amaryllidaceae alkaloids,Dihydroisoquinolines,
Angucyclines,Dihydroisoquinolines,
Anthracenes,Dihydroisoquinolines,
Aporphines,Dihydroisoquinolines,
Arylnaphthalene lignans,Dihydroisoquinolines,
Aryltetralin lignans,Dihydroisoquinolines,
Aspidofractine alkaloids,Dihydroisoquinolines,
Aspidospermatan-type alkaloids,Dihydroisoquinolines,
Azaphilones,Dihydroisoquinolines,
Azaspirodecane derivatives,Dihydroisoquinolines,
Azepanes,Dihydroisoquinolines,
Azepines,Dihydroisoquinolines,
Azetidines,Dihydroisoquinolines,
Azoles,Dihydroisoquinolines,
Azolidines,Dihydroisoquinolines,
Benzazepines,Dihydroisoquinolines,
Benzene and substituted derivatives,Dihydroisoquinolines,
Benzodiazepines,Dihydroisoquinolines,
Benzodioxoles,Dihydroisoquinolines,
Benzofurans,Dihydroisoquinolines,
Benzophenanthridine alkaloids,Dihydroisoquinolines,
Benzopyrans,Dihydroisoquinolines,
Benzothiazoles,Dihydroisoquinolines,
Benzoxazines,Dihydroisoquinolines,
Benzoxepines,Dihydroisoquinolines,
Bi- and oligothiophenes,Dihydroisoquinolines,
Carboximidic acids and derivatives,Dihydroisoquinolines,
Carboxylic acids and derivatives,Dihydroisoquinolines,
Cinnamic acids and derivatives,Dihydroisoquinolines,
Coumarins and derivatives,Dihydroisoquinolines,
Cycloheptapyrans,Dihydroisoquinolines,
Daphniphylline-type alkaloids,Dihydroisoquinolines,
Depsides and depsidones,Dihydroisoquinolines,
Diarylheptanoids,Dihydroisoquinolines,
Diazanaphthalenes,Dihydroisoquinolines,
Diazines,Dihydroisoquinolines,
Dibenzylbutane lignans,Dihydroisoquinolines,
Dihydrofurans,Dihydroisoquinolines,
Dihydroisoquinolines,Dihydroisoquinolines,
Dioxanes,Dihydroisoquinolines,
Ergoline and derivatives,Dihydroisoquinolines,
Fatty Acyls,Dihydroisoquinolines,
Flavonoids,Dihydroisoquinolines,
Fluorenes,Dihydroisoquinolines,
Furanoid lignans,Dihydroisoquinolines,
Furans,Dihydroisoquinolines,
Furofurans,Dihydroisoquinolines,
Furopyrans,Dihydroisoquinolines,
Gelsemium alkaloids,Dihydroisoquinolines,
Glycerolipids,Dihydroisoquinolines,
Glycerophospholipids,Dihydroisoquinolines,
Harmala alkaloids,Dihydroisoquinolines,
Heteroaromatic compounds,Dihydroisoquinolines,
Hydroxy acids and derivatives,Dihydroisoquinolines,
Imidazodiazepines,Dihydroisoquinolines,
Imidazopyrimidines,Dihydroisoquinolines,
Indanes,Dihydroisoquinolines,
Indoles and derivatives,Dihydroisoquinolines,
Indolizidines,Dihydroisoquinolines,
Indolonaphthyridine alkaloids,Dihydroisoquinolines,
Isobenzofurans,Dihydroisoquinolines,
Isocoumarans,Dihydroisoquinolines,
Isocoumarins and derivatives,Dihydroisoquinolines,
Isoflavonoids,Dihydroisoquinolines,
Isoindoles and derivatives,Dihydroisoquinolines,
Isoquinolines and derivatives,Dihydroisoquinolines,
Keto acids and derivatives,Dihydroisoquinolines,
Lactams,Dihydroisoquinolines,
Lactones,Dihydroisoquinolines,
"Linear 1,3-diarylpropanoids",Dihydroisoquinolines,
Lupin alkaloids,Dihydroisoquinolines,
Macrolactams,Dihydroisoquinolines,
Macrolide lactams,Dihydroisoquinolines,
Macrolides and analogues,Dihydroisoquinolines,
Naphthacenes,Dihydroisoquinolines,
Naphthalenes,Dihydroisoquinolines,
Naphthofurans,Dihydroisoquinolines,
Naphthopyrans,Dihydroisoquinolines,
Neoflavonoids,Dihydroisoquinolines,
Organic carbonic acids and derivatives,Dihydroisoquinolines,
Organic oxides,Dihydroisoquinolines,
Organic phosphonic acids and derivatives,Dihydroisoquinolines,
Organic phosphoric acids and derivatives,Dihydroisoquinolines,
Organic sulfonic acids and derivatives,Dihydroisoquinolines,
Organic sulfuric acids and derivatives,Dihydroisoquinolines,
Organochlorides,Dihydroisoquinolines,
Organonitrogen compounds,Dihydroisoquinolines,
Organooxygen compounds,Dihydroisoquinolines,
Other mixed metal/non-metal oxoanionic compounds,Dihydroisoquinolines,
Oxanes,Dihydroisoquinolines,
Oxepanes,Dihydroisoquinolines,
Oxocins,Dihydroisoquinolines,
Peptidomimetics,Dihydroisoquinolines,
Perylenequinones,Dihydroisoquinolines,
Phenanthrenes and derivatives,Dihydroisoquinolines,
Phenol esters,Dihydroisoquinolines,
Phenol ethers,Dihydroisoquinolines,
Phenols,Dihydroisoquinolines,
Phenylpropanoic acids,Dihydroisoquinolines,
Piperidines,Dihydroisoquinolines,
Plumeran-type alkaloids,Dihydroisoquinolines,
Polycyclic hydrocarbons,Dihydroisoquinolines,
Prenol lipids,Dihydroisoquinolines,
Processing_1,Dihydroisoquinolines,
Processing_2,Dihydroisoquinolines,
Processing_3,Dihydroisoquinolines,
Processing_4,Dihydroisoquinolines,
Pteridines and derivatives,Dihydroisoquinolines,
Purine nucleosides,Dihydroisoquinolines,
Pyrans,Dihydroisoquinolines,
Pyridines and derivatives,Dihydroisoquinolines,
Pyridopyrimidines,Dihydroisoquinolines,
Pyrimidine nucleosides,Dihydroisoquinolines,
Pyrroles,Dihydroisoquinolines,
Pyrrolidines,Dihydroisoquinolines,
Pyrrolines,Dihydroisoquinolines,
Pyrrolizidines,Dihydroisoquinolines,
Pyrrolizines,Dihydroisoquinolines,
Quinolines and derivatives,Dihydroisoquinolines,
Quinolizidines,Dihydroisoquinolines,
Quinolizines,Dihydroisoquinolines,
Saccharolipids,Dihydroisoquinolines,
"Saxitoxins, gonyautoxins, and derivatives",Dihydroisoquinolines,
Sphingolipids,Dihydroisoquinolines,
Steroids and steroid derivatives,Dihydroisoquinolines,
Stilbenes,Dihydroisoquinolines,
Strychnos alkaloids,Dihydroisoquinolines,
Sulfoxides,Dihydroisoquinolines,
Tannins,Dihydroisoquinolines,
Tetrahydrofurans,Dihydroisoquinolines,
Tetrahydroisoquinolines,Dihydroisoquinolines,
Tetralins,Dihydroisoquinolines,
Tetrapyrroles and derivatives,Dihydroisoquinolines,
Thiazinanes,Dihydroisoquinolines,
Thiosulfinic acid esters,Dihydroisoquinolines,
Trithiolanes,Dihydroisoquinolines,
Tropane alkaloids,Dihydroisoquinolines,
Tropones,Dihydroisoquinolines,
Unclassified,Dihydroisoquinolines,
Unsaturated hydrocarbons,Dihydroisoquinolines,
Vinylogous acids,Dihydroisoquinolines,
2-arylbenzofuran flavonoids,Ergoline and derivatives,
5'-deoxyribonucleosides,Ergoline and derivatives,
Acenaphthylenes,Ergoline and derivatives,
Acyl halides,Ergoline and derivatives,
"Allyl-type 1,3-dipolar organic compounds",Ergoline and derivatives,
Amaryllidaceae alkaloids,Ergoline and derivatives,
Angucyclines,Ergoline and derivatives,
Anthracenes,Ergoline and derivatives,
Aporphines,Ergoline and derivatives,
Arylnaphthalene lignans,Ergoline and derivatives,
Aryltetralin lignans,Ergoline and derivatives,
Aspidofractine alkaloids,Ergoline and derivatives,
Aspidospermatan-type alkaloids,Ergoline and derivatives,
Azaphilones,Ergoline and derivatives,
Azaspirodecane derivatives,Ergoline and derivatives,
Azepanes,Ergoline and derivatives,
Azepines,Ergoline and derivatives,
Azetidines,Ergoline and derivatives,
Azoles,Ergoline and derivatives,
Azolidines,Ergoline and derivatives,
Benzazepines,Ergoline and derivatives,
Benzene and substituted derivatives,Ergoline and derivatives,
Benzodiazepines,Ergoline and derivatives,
Benzodioxoles,Ergoline and derivatives,
Benzofurans,Ergoline and derivatives,
Benzophenanthridine alkaloids,Ergoline and derivatives,
Benzopyrans,Ergoline and derivatives,
Benzothiazoles,Ergoline and derivatives,
Benzoxazines,Ergoline and derivatives,
Benzoxepines,Ergoline and derivatives,
Bi- and oligothiophenes,Ergoline and derivatives,
Carboximidic acids and derivatives,Ergoline and derivatives,
Carboxylic acids and derivatives,Ergoline and derivatives,
Cinnamic acids and derivatives,Ergoline and derivatives,
Coumarins and derivatives,Ergoline and derivatives,
Cycloheptapyrans,Ergoline and derivatives,
Daphniphylline-type alkaloids,Ergoline and derivatives,
Depsides and depsidones,Ergoline and derivatives,
Diarylheptanoids,Ergoline and derivatives,
Diazanaphthalenes,Ergoline and derivatives,
Diazines,Ergoline and derivatives,
Dibenzylbutane lignans,Ergoline and derivatives,
Dihydrofurans,Ergoline and derivatives,
Dihydroisoquinolines,Ergoline and derivatives,
Dioxanes,Ergoline and derivatives,
Ergoline and derivatives,Ergoline and derivatives,
Fatty Acyls,Ergoline and derivatives,
Flavonoids,Ergoline and derivatives,
Fluorenes,Ergoline and derivatives,
Furanoid lignans,Ergoline and derivatives,
Furans,Ergoline and derivatives,
Furofurans,Ergoline and derivatives,
Furopyrans,Ergoline and derivatives,
Gelsemium alkaloids,Ergoline and derivatives,
Glycerolipids,Ergoline and derivatives,
Glycerophospholipids,Ergoline and derivatives,
Harmala alkaloids,Ergoline and derivatives,
Heteroaromatic compounds,Ergoline and derivatives,
Hydroxy acids and derivatives,Ergoline and derivatives,
Imidazodiazepines,Ergoline and derivatives,
Imidazopyrimidines,Ergoline and derivatives,
Indanes,Ergoline and derivatives,
Indoles and derivatives,Ergoline and derivatives,
Indolizidines,Ergoline and derivatives,
Indolonaphthyridine alkaloids,Ergoline and derivatives,
Isobenzofurans,Ergoline and derivatives,
Isocoumarans,Ergoline and derivatives,
Isocoumarins and derivatives,Ergoline and derivatives,
Isoflavonoids,Ergoline and derivatives,
Isoindoles and derivatives,Ergoline and derivatives,
Isoquinolines and derivatives,Ergoline and derivatives,
Keto acids and derivatives,Ergoline and derivatives,
Lactams,Ergoline and derivatives,
Lactones,Ergoline and derivatives,
"Linear 1,3-diarylpropanoids",Ergoline and derivatives,
Lupin alkaloids,Ergoline and derivatives,
Macrolactams,Ergoline and derivatives,
Macrolide lactams,Ergoline and derivatives,
Macrolides and analogues,Ergoline and derivatives,
Naphthacenes,Ergoline and derivatives,
Naphthalenes,Ergoline and derivatives,
Naphthofurans,Ergoline and derivatives,
Naphthopyrans,Ergoline and derivatives,
Neoflavonoids,Ergoline and derivatives,
Organic carbonic acids and derivatives,Ergoline and derivatives,
Organic oxides,Ergoline and derivatives,
Organic phosphonic acids and derivatives,Ergoline and derivatives,
Organic phosphoric acids and derivatives,Ergoline and derivatives,
